State,Total
California,41180
Florida,31090
Texas,24510
New York,24420
Pennsylvania,17740
Illinois,16870
Ohio,15870
Michigan,14650
North Carolina,14270
Georgia,12410
New Jersey,11080
Virginia,10260
Tennessee,9710
Indiana,9620
Missouri,9470
Washington,8860
Massachusetts,8730
Arizona,8510
Wisconsin,8110
Alabama,7730
Kentucky,7530
Maryland,7470
Minnesota,6770
Louisiana,6660
South Carolina,6520
Oklahoma,5590
Colorado,5390
Oregon,5300
Arkansas,4940
Mississippi,4780
Connecticut,4500
Iowa,4490
Kansas,3890
Nevada,3770
West Virginia,3320
Rhode Island,3230
Nebraska,2470
New Mexico,2470
Maine,2230
Idaho,2030
Utah,1870
New Hampshire,1870
Hawaii,1750
Delaware,1460
Montana,1410
South Dakota,1160
Vermont,900
North Dakota,750
District of Columbia,670
Alaska,640
Wyoming,490
